                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.42262,                0.60102,                0.88966,                0.87996,                0.98003,                0.98109,                0.84428,                0.55803,                0.44493,                0.99123,             0.00014288,             0.00014288,             0.00014288
                     72,                0.44768,                0.62361,                0.89225,                0.85699,                0.97261,                0.98517,                0.84457,                0.55816,                0.42556,                0.99037,             0.00014181,             0.00014181,             0.00014181
                     73,                0.41714,                0.59047,                0.88756,                 0.9194,                0.95564,                0.98164,                0.84846,                0.52014,                0.40583,                0.97132,             0.00014074,             0.00014074,             0.00014074
                     74,                0.44435,                0.60724,                0.88895,                0.88098,                0.95933,                0.99234,                0.86676,                0.52102,                0.41005,                0.97442,             0.00013966,             0.00013966,             0.00013966
                     75,                0.42221,                0.58277,                0.88076,                0.83491,                0.98446,                0.98645,                0.85149,                 0.5472,                0.43428,                0.98691,             0.00013859,             0.00013859,             0.00013859
                     76,                0.44557,                0.60503,                0.89473,                0.92944,                0.91574,                0.98747,                0.83139,                0.56307,                0.42479,                 1.0012,             0.00013751,             0.00013751,             0.00013751
                     77,                0.42646,                0.59998,                0.89036,                0.84509,                0.98027,                0.98752,                0.84074,                0.51756,                0.42962,                0.97932,             0.00013644,             0.00013644,             0.00013644
                     78,                0.43011,                0.59055,                0.88803,                0.91564,                0.95628,                0.98645,                0.83496,                0.54185,                0.43414,                0.98077,             0.00013536,             0.00013536,             0.00013536
                     79,                0.42477,                0.56453,                0.88837,                0.91471,                0.96759,                0.98464,                0.83883,                0.54822,                0.43407,                 0.9729,             0.00013429,             0.00013429,             0.00013429
                     80,                0.44697,                0.58071,                0.89065,                0.88284,                0.97739,                0.98538,                 0.8446,                 0.5054,                0.42087,                0.96292,             0.00013322,             0.00013322,             0.00013322
                     81,                0.42986,                0.57359,                0.88766,                0.90915,                0.96535,                0.98328,                0.85029,                0.51316,                0.43146,                0.95523,             0.00013214,             0.00013214,             0.00013214
                     82,                0.42047,                0.55366,                0.88395,                0.90703,                0.94366,                0.98874,                 0.8506,                  0.523,                0.42522,                0.97088,             0.00013107,             0.00013107,             0.00013107
                     83,                0.42894,                0.56297,                0.88494,                0.89389,                0.97336,                0.99004,                0.84692,                0.54528,                0.42063,                0.97799,             0.00012999,             0.00012999,             0.00012999
                     84,                0.40664,                0.54046,                 0.8763,                0.93434,                0.95785,                0.98664,                0.84295,                0.54214,                0.42601,                 0.9863,             0.00012892,             0.00012892,             0.00012892
                     85,                0.41181,                0.53192,                0.87893,                0.90302,                0.96735,                0.98821,                 0.8538,                0.52446,                0.44946,                0.96266,             0.00012785,             0.00012785,             0.00012785
                     86,                0.40985,                0.53312,                0.87941,                0.95011,                0.94088,                0.98727,                0.85917,                0.51238,                0.45528,                0.96017,             0.00012677,             0.00012677,             0.00012677
                     87,                0.41753,                0.53155,                0.87858,                0.92202,                0.94819,                0.98619,                0.85056,                0.52672,                 0.4412,                0.97698,              0.0001257,              0.0001257,              0.0001257
                     88,                0.41608,                 0.5305,                0.88314,                0.87542,                0.97126,                0.98996,                 0.8533,                0.52081,                 0.3948,                0.97681,             0.00012462,             0.00012462,             0.00012462
                     89,                 0.3922,                0.51196,                0.87053,                0.93859,                0.90419,                 0.9861,                0.85873,                0.48961,                0.41141,                0.95813,             0.00012355,             0.00012355,             0.00012355
                     90,                0.40046,                0.52164,                0.87435,                0.93848,                 0.9186,                0.98407,                  0.833,                 0.5301,                0.41367,                0.96052,             0.00012247,             0.00012247,             0.00012247
                     91,                 0.4145,                0.51667,                0.87732,                0.92303,                0.92036,                0.99204,                0.84285,                0.54676,                0.40549,                0.97998,              0.0001214,              0.0001214,              0.0001214
                     92,                0.42237,                0.53475,                0.88938,                0.90901,                 0.9256,                0.98244,                0.83807,                0.52921,                0.40188,                0.98102,             0.00012033,             0.00012033,             0.00012033
                     93,                0.40936,                0.52261,                0.88589,                0.92785,                0.97366,                0.98855,                0.84334,                0.53307,                0.40379,                0.97883,             0.00011925,             0.00011925,             0.00011925
                     94,                0.39684,                0.51214,                0.88109,                0.95363,                0.94367,                0.98655,                0.85073,                0.53463,                 0.4206,                0.97803,             0.00011818,             0.00011818,             0.00011818
                     95,                0.40659,                0.50752,                0.88552,                 0.9478,                0.96454,                0.99121,                0.85138,                0.53486,                0.36797,                0.97552,              0.0001171,              0.0001171,              0.0001171
                     96,                0.40489,                0.48793,                0.88267,                0.93767,                 0.9516,                0.98519,                0.85456,                0.51311,                0.37097,                0.97622,             0.00011603,             0.00011603,             0.00011603
                     97,                0.38344,                0.47013,                0.86924,                0.85543,                0.96621,                0.97714,                0.84815,                0.52064,                0.39555,                0.96552,             0.00011496,             0.00011496,             0.00011496
                     98,                0.41044,                0.49726,                0.87292,                0.93665,                0.92373,                0.97822,                0.85508,                0.49196,                0.39841,                0.95783,             0.00011388,             0.00011388,             0.00011388
                     99,                 0.3996,                0.50368,                0.88101,                 0.8373,                0.97964,                 0.9763,                0.84992,                0.52507,                0.40225,                0.96039,             0.00011281,             0.00011281,             0.00011281
                    100,                0.41341,                0.51078,                0.87926,                0.90014,                0.95891,                 0.9937,                0.85784,                0.51278,                0.39423,                0.96129,             0.00011173,             0.00011173,             0.00011173
                    101,                0.40075,                 0.4998,                0.87927,                0.85652,                0.96641,                0.99444,                0.86273,                0.50496,                0.40334,                0.96568,             0.00011066,             0.00011066,             0.00011066
                    102,                0.38746,                0.47354,                0.86955,                0.85775,                0.98208,                0.99177,                0.85384,                0.50802,                0.38423,                0.96756,             0.00010959,             0.00010959,             0.00010959
                    103,                0.39883,                0.47957,                0.87586,                0.90471,                 0.9705,                0.99444,                0.84808,                0.52291,                0.39577,                0.97497,             0.00010851,             0.00010851,             0.00010851
                    104,                0.37503,                0.45514,                0.86945,                0.87649,                0.96921,                0.99104,                0.84513,                0.51855,                0.40577,                0.97412,             0.00010744,             0.00010744,             0.00010744
                    105,                0.38102,                0.47702,                 0.8763,                0.90488,                0.96036,                0.99104,                0.85496,                0.52633,                0.43078,                0.97541,             0.00010636,             0.00010636,             0.00010636
                    106,                0.37396,                0.45334,                0.87166,                0.92907,                0.95329,                0.98832,                 0.8511,                0.51038,                0.38979,                0.97063,             0.00010529,             0.00010529,             0.00010529
                    107,                0.36924,                0.46131,                0.86064,                0.91822,                 0.9532,                 0.9937,                0.86165,                0.50757,                0.37901,                 0.9793,             0.00010421,             0.00010421,             0.00010421
                    108,                0.36905,                0.44037,                0.86401,                0.84476,                0.97821,                0.99315,                0.85444,                 0.5002,                0.38073,                 0.9566,             0.00010314,             0.00010314,             0.00010314
                    109,                0.38302,                0.45517,                0.87411,                0.89506,                0.96744,                0.98631,                0.86054,                0.50417,                0.38252,                 0.9653,             0.00010207,             0.00010207,             0.00010207
                    110,                0.37353,                0.44609,                0.86783,                0.93457,                0.96022,                 0.9873,                0.85733,                0.51704,                0.39119,                0.97008,             0.00010099,             0.00010099,             0.00010099
                    111,                0.38706,                  0.456,                0.86349,                0.88592,                0.97558,                 0.9937,                0.86978,                0.51263,                0.37753,                0.96548,             9.9918e-05,             9.9918e-05,             9.9918e-05
                    112,                0.38464,                0.46103,                0.87034,                0.94155,                0.92788,                0.99444,                0.86894,                0.49777,                0.36816,                0.96168,             9.8843e-05,             9.8843e-05,             9.8843e-05
                    113,                0.38121,                0.44653,                0.86322,                0.92822,                0.95927,                0.99177,                0.85835,                0.49367,                0.38387,                0.96511,             9.7769e-05,             9.7769e-05,             9.7769e-05
                    114,                0.37899,                0.44768,                 0.8759,                 0.9223,                0.96412,                0.99444,                0.85719,                0.52059,                0.37709,                0.97046,             9.6695e-05,             9.6695e-05,             9.6695e-05
                    115,                0.39434,                0.45764,                0.87941,                0.89213,                0.97697,                0.99177,                0.85678,                0.50541,                0.37192,                0.96499,             9.5621e-05,             9.5621e-05,             9.5621e-05
                    116,                0.38386,                0.43953,                0.87032,                0.93175,                0.94667,                0.99177,                0.84838,                0.50189,                0.36431,                0.95531,             9.4547e-05,             9.4547e-05,             9.4547e-05
                    117,                0.37086,                 0.4403,                 0.8631,                0.92738,                0.96079,                 0.9891,                0.85989,                0.51681,                 0.3837,                 0.9697,             9.3473e-05,             9.3473e-05,             9.3473e-05
                    118,                0.37026,                0.42627,                0.86681,                0.91155,                0.97017,                 0.9891,                0.86475,                0.50804,                0.38567,                0.96922,             9.2399e-05,             9.2399e-05,             9.2399e-05
                    119,                0.38704,                0.44184,                0.87524,                0.88194,                0.97922,                0.99018,                0.86433,                0.51847,                0.36867,                0.97561,             9.1324e-05,             9.1324e-05,             9.1324e-05
                    120,                0.36644,                0.41326,                0.87427,                0.92601,                0.92984,                0.99444,                0.85103,                0.51255,                0.37726,                0.96083,              9.025e-05,              9.025e-05,              9.025e-05
                    121,                0.37446,                0.43479,                 0.8673,                0.92788,                0.96198,                0.99336,                0.85569,                 0.5191,                0.38692,                0.96314,             8.9176e-05,             8.9176e-05,             8.9176e-05
                    122,                0.37655,                 0.4272,                0.86994,                0.91712,                0.97319,                0.99336,                0.86651,                 0.5054,                 0.3843,                 0.9645,             8.8102e-05,             8.8102e-05,             8.8102e-05
                    123,                0.34996,                0.41289,                0.87093,                0.93325,                0.96533,                 0.9891,                0.86331,                0.47786,                0.37801,                0.95764,             8.7028e-05,             8.7028e-05,             8.7028e-05
                    124,                0.37112,                0.42571,                0.87136,                0.90105,                0.96604,                0.98833,                 0.8711,                0.48069,                0.37815,                0.95502,             8.5954e-05,             8.5954e-05,             8.5954e-05
                    125,                0.36632,                0.43072,                 0.8692,                0.87378,                0.97424,                0.98833,                0.86321,                0.47766,                0.37046,                0.95849,              8.488e-05,              8.488e-05,              8.488e-05
                    126,                0.36539,                0.41495,                0.86656,                0.87955,                0.97343,                 0.9907,                0.87029,                0.48293,                0.37338,                0.96736,             8.3805e-05,             8.3805e-05,             8.3805e-05
                    127,                0.36569,                0.40839,                0.86568,                0.90841,                0.97635,                0.99018,                0.85831,                0.50021,                0.38326,                 0.9691,             8.2731e-05,             8.2731e-05,             8.2731e-05
                    128,                 0.3699,                0.41631,                0.86916,                0.86313,                0.98313,                0.98033,                0.85049,                 0.5037,                0.37634,                0.97462,             8.1657e-05,             8.1657e-05,             8.1657e-05
                    129,                0.36065,                0.40075,                0.85998,                0.92588,                0.93649,                0.98379,                 0.8389,                0.50194,                0.37295,                0.96976,             8.0583e-05,             8.0583e-05,             8.0583e-05
                    130,                0.34892,                0.40656,                0.86002,                0.88539,                0.98196,                0.98485,                0.85639,                0.51091,                0.36733,                0.96605,             7.9509e-05,             7.9509e-05,             7.9509e-05
                    131,                0.34656,                0.39504,                0.86824,                0.89011,                0.97606,                0.98206,                 0.8535,                0.49288,                0.37309,                0.96209,             7.8435e-05,             7.8435e-05,             7.8435e-05
                    132,                0.34833,                0.39241,                0.86101,                0.86595,                0.98197,                0.99065,                0.85403,                0.49043,                0.36554,                0.96035,              7.736e-05,              7.736e-05,              7.736e-05
                    133,                0.36028,                0.39629,                0.86638,                0.90721,                0.96586,                 0.9907,                0.84557,                0.50284,                0.37109,                 0.9654,             7.6286e-05,             7.6286e-05,             7.6286e-05
                    134,                0.35685,                0.40012,                0.86108,                0.90843,                0.92564,                0.98644,                0.84219,                0.50896,                0.37997,                 0.9655,             7.5212e-05,             7.5212e-05,             7.5212e-05
                    135,                0.35279,                0.40353,                0.86386,                0.87113,                0.97495,                0.98747,                0.84789,                0.51465,                0.38538,                0.96886,             7.4138e-05,             7.4138e-05,             7.4138e-05
                    136,                0.35954,                0.40035,                0.86289,                0.88458,                0.97234,                0.98461,                0.85075,                0.50305,                0.38583,                0.96787,             7.3064e-05,             7.3064e-05,             7.3064e-05
                    137,                0.35577,                0.39354,                0.86172,                 0.9003,                0.97564,                0.99177,                0.85541,                 0.5176,                 0.3623,                0.97224,              7.199e-05,              7.199e-05,              7.199e-05
                    138,                0.37426,                0.40181,                0.87626,                0.89913,                0.98224,                0.98911,                0.86084,                  0.506,                0.36995,                0.97016,             7.0916e-05,             7.0916e-05,             7.0916e-05
                    139,                0.35108,                0.39176,                0.85902,                0.88496,                0.97882,                0.98645,                0.84782,                0.51939,                0.37246,                0.97321,             6.9841e-05,             6.9841e-05,             6.9841e-05
                    140,                 0.3464,                0.38781,                0.86284,                 0.8866,                0.94703,                0.98752,                0.85675,                0.49792,                0.37304,                0.96381,             6.8767e-05,             6.8767e-05,             6.8767e-05
                    141,                0.35554,                0.39014,                0.86168,                0.91511,                0.97145,                0.99177,                0.86134,                0.49523,                 0.3593,                0.95193,             6.7693e-05,             6.7693e-05,             6.7693e-05
                    142,                0.33987,                0.39328,                0.86233,                0.94768,                0.93775,                0.99336,                0.86054,                0.49116,                0.36021,                0.95085,             6.6619e-05,             6.6619e-05,             6.6619e-05
                    143,                0.34268,                0.39604,                0.85852,                0.92647,                0.94048,                0.98641,                0.83814,                0.50413,                0.35542,                 0.9642,             6.5545e-05,             6.5545e-05,             6.5545e-05
                    144,                0.34076,                0.38478,                0.85759,                0.89218,                0.98122,                0.98534,                0.83865,                0.49683,                0.35004,                0.97557,             6.4471e-05,             6.4471e-05,             6.4471e-05
                    145,                 0.3342,                0.36693,                0.86117,                0.86826,                0.98164,                0.98993,                0.84169,                0.50062,                0.36843,                0.96491,             6.3397e-05,             6.3397e-05,             6.3397e-05
                    146,                 0.3482,                0.38799,                0.86021,                0.90486,                0.97417,                 0.9907,                 0.8546,                0.50017,                0.37725,                0.96565,             6.2322e-05,             6.2322e-05,             6.2322e-05
                    147,                0.33586,                0.37673,                0.86054,                0.86238,                0.98044,                0.99177,                0.86015,                0.49553,                0.35756,                0.95635,             6.1248e-05,             6.1248e-05,             6.1248e-05
                    148,                0.35662,                0.38664,                0.86792,                0.87014,                0.97682,                0.98534,                0.85952,                0.48424,                0.35678,                0.95944,             6.0174e-05,             6.0174e-05,             6.0174e-05
