                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.73315,                 1.1725,                0.96582,                0.85525,                      1,                  0.995,                  0.768,                0.77529,                0.51793,                0.97318,             0.00023912,             0.00023912,             0.00023912
                     65,                0.79705,                  1.219,                0.97352,                0.86814,                0.98026,                  0.995,                0.78823,                0.74608,                0.54671,                0.96511,             0.00023741,             0.00023741,             0.00023741
                     66,                0.78213,                 1.1904,                0.96244,                0.94069,                 0.9792,                  0.995,                0.79303,                0.73077,                0.50595,                 0.9553,              0.0002357,              0.0002357,              0.0002357
                     67,                0.75846,                 1.2517,                0.97919,                0.88679,                0.98039,                  0.995,                0.79166,                0.69948,                0.53789,                0.95001,               0.000234,               0.000234,               0.000234
                     68,                0.76817,                 1.2396,                0.98278,                0.91301,                0.96681,                  0.995,                0.79392,                0.72657,                0.53435,                0.94055,             0.00023229,             0.00023229,             0.00023229
                     69,                0.74054,                 1.1281,                 0.9578,                0.86613,                0.98401,                  0.995,                0.77696,                0.74343,                0.51022,                0.95061,             0.00023058,             0.00023058,             0.00023058
                     70,                0.76791,                  1.123,                0.96103,                0.86346,                0.99543,                  0.995,                0.78175,                0.70591,                0.46859,                0.94164,             0.00022887,             0.00022887,             0.00022887
                     71,                0.74973,                 1.1639,                0.96568,                0.91718,                0.98535,                  0.995,                0.77895,                0.72779,                0.48165,                0.94687,             0.00022717,             0.00022717,             0.00022717
                     72,                0.78962,                 1.1843,                0.98824,                0.93628,                0.98648,                  0.995,                0.77994,                0.74309,                0.46725,                0.94628,             0.00022546,             0.00022546,             0.00022546
                     73,                0.71754,                 1.1282,                0.95535,                0.96156,                0.98521,                  0.995,                0.80972,                0.70043,                 0.4524,                0.92877,             0.00022375,             0.00022375,             0.00022375
                     74,                0.76096,                 1.0855,                0.96433,                0.94022,                 0.9867,                  0.995,                0.80537,                0.68912,                0.43496,                0.92892,             0.00022204,             0.00022204,             0.00022204
                     75,                0.72454,                 1.0945,                0.96982,                 0.9225,                0.99722,                  0.995,                0.81085,                0.70326,                0.45601,                0.92052,             0.00022033,             0.00022033,             0.00022033
                     76,                0.72113,                 1.1615,                0.95556,                0.91909,                0.97691,                  0.995,                0.81257,                0.67179,                0.45402,                0.91412,             0.00021863,             0.00021863,             0.00021863
                     77,                0.75671,                 1.1006,                0.95902,                0.92443,                0.98901,                  0.995,                0.80444,                0.66736,                0.44144,                0.92641,             0.00021692,             0.00021692,             0.00021692
                     78,                0.70787,                 1.0686,                0.92864,                0.88876,                 0.9957,                  0.995,                0.80749,                0.68088,                0.44829,                0.94499,             0.00021521,             0.00021521,             0.00021521
                     79,                0.71086,                 1.0374,                0.94169,                0.88188,                0.99478,                  0.995,                0.79465,                0.66906,                0.43921,                 0.9559,              0.0002135,              0.0002135,              0.0002135
                     80,                0.70357,                 1.0745,                0.93252,                0.93739,                0.97882,                  0.995,                 0.8083,                0.65489,                0.45763,                0.95151,              0.0002118,              0.0002118,              0.0002118
                     81,                 0.7126,                 1.0548,                0.96132,                0.94907,                 0.9755,                  0.995,                0.80455,                0.64739,                0.45462,                0.93953,             0.00021009,             0.00021009,             0.00021009
                     82,                0.69775,                 1.0511,                0.94489,                0.95841,                0.98848,                  0.995,                0.80525,                0.65843,                0.45326,                0.93967,             0.00020838,             0.00020838,             0.00020838
                     83,                0.68355,                  1.022,                0.92237,                0.95337,                0.99671,                  0.995,                0.78987,                0.65091,                0.45938,                0.93073,             0.00020667,             0.00020667,             0.00020667
                     84,                0.70982,                  1.047,                0.94624,                0.93741,                0.97785,                  0.995,                0.81679,                0.63594,                0.43569,                0.91393,             0.00020496,             0.00020496,             0.00020496
